basin_id,slope,lon,elev,lat,pop,pop_dnsty,length,area,form_factor,shape_factor,compactness_coefficient,circulatory_ratio,elongation_ratio
24315,167.3242188,121.8726801,743.6211128,48.20586513,1999,0.733744834,67.14210398,1827.436084,0.405370652,2.46687814,1.7726802,0.318332267,0.718183216
24316,161.2826996,122.0119478,758.8683078,48.53317485,24945,5.485112115,75.84473623,3031.249824,0.526951737,1.897707001,1.717352122,0.339174152,0.818831459
24317,130.2872772,123.6745332,136.5747808,47.02261033,73771,109.1972703,43.67785555,463.2517638,0.242825598,4.11818198,1.988082598,0.253088611,0.555848365
24318,118.2670364,123.5006875,151.7807227,47.46743178,217447,87.23893967,72.60571832,1695.751884,0.321677478,3.108703804,2.289846026,0.190778262,0.639763453
24319,118.9186325,123.9242392,140.0497136,47.29753019,252905,299.2323631,43.09504291,576.6011528,0.310470879,3.220913996,2.069025154,0.23367374,0.628520627
24320,101.9258041,124.2429131,145.1441688,47.5724269,20067,25.67929882,42.6531083,530.5012354,0.291598328,3.42937495,2.06001807,0.235721605,0.609118253
24321,100.1035385,124.7630751,142.6737547,47.29385055,104454,25.63559971,,2782.672233,,,,,
24322,102.5409241,124.7115332,153.8892802,47.60592257,26095,21.39855114,,827.3466494,,,,,
24323,102.462883,124.949926,202.0212752,48.00511006,123423,45.25498854,81.67847453,1835.38981,0.275114246,3.634853569,1.93474962,0.267234122,0.59165105
24324,102.3567581,124.9662688,175.5493908,47.82445056,46781,32.48779201,62.39163389,972.8111853,0.249905513,4.001512357,2.382635771,0.176208208,0.563893409
24325,98.68523407,125.114733,163.1515976,47.52500177,76854,41.30204242,33.38907819,1264.563174,1.134309768,0.881593396,1.868417718,0.286545436,1.20136489
24326,82.98639679,125.3128576,204.5975736,47.92546371,144589,59.67425442,71.04888087,1635.733851,0.324039653,3.086042067,2.1795756,0.210570523,0.642108145
24327,82.93960571,125.7646496,262.5995005,48.09573431,58456,38.73825055,57.07442664,1013.993887,0.31128072,3.212534333,1.996130933,0.251051835,0.629339819
