basin_id,lai_dif,lai_max,ndvi_mean,root_depth_50,root_depth_99,evergreen_needleleaf_tree,evergreen_broadleaf_tree,deciduous_needleleaf_tree,deciduous_broadleaf_tree,mixed_forest,closed_shrubland,open_shrubland,woody_savanna,savanna,grassland,permanent_wetland,cropland,urban_and_built-up_land,cropland_natural_vegetation,snow_and_ice,barren,water_bodies
27575,,,,0.184770958,2.214469613,0,0.100468707,0,0,0,0,0,0.058588365,0.033995037,0.00774745,0.001075269,0.018169286,0.020705817,0.031596361,0,0.000303281,0.000248139
27576,1.523913225,1.692672414,0.730415109,0.179506173,1.992716049,0,0.091797086,0,0,0,0,0,0.112736104,0.13416082,0.000701565,0.001780896,0.002212628,0.027361036,0.139395575,0,0,0.000917431
27577,,,,0.194861287,2.504569493,0.015895233,0.235407428,0,0,0.001704545,4.16E-05,0,0.038262195,0.040493348,0.005861973,0.000817627,0.024071508,0.017128603,0.025097007,0,0.000332594,0.000928492
27578,1.437405048,1.636139225,0.721217851,0.180866873,2.282631579,0,0.100030819,0,0,8.81E-05,0,0,0.120866904,0.145027077,0.003676309,0.000616387,0.000990622,0.037874785,0.001761106,0,3.30E-05,0.003070929
27580,2.212372039,2.357743501,0.765876773,0.183629032,2.359193548,0,0.150061859,0,0,0.000254712,0,0,0.206680736,0.161560294,0.000218325,0,0,0.002874609,0.008114402,0,0,0
27581,2.77932785,2.905859859,0.742591773,0.181946903,2.367256637,0,0.25545977,0,0,0.000287356,0,0,0.24506705,0.108477011,0.003400383,0.003065134,0.001388889,0.001963602,0.003639847,0,0,0.002777778
27582,2.125762195,2.30609248,0.750849603,0.187777778,2.457272727,0.001441268,0.215349508,0,0,0.006926095,0,0,0.140763872,0.082472576,0.003402995,0.000120106,0.001120986,0.009087997,0.000200176,0,0,0
27584,2.62968809,2.795254276,0.76703272,0.190337079,2.488314607,0.000100827,0.291893527,0,0,0.001865295,0,0,0.144031055,0.092407743,0.003075217,0.000352894,0.003176044,0.002923977,0.001109095,0,0,0
27585,2.378893542,2.540029074,0.735866862,0.188548387,2.469677419,0,0.221564327,0,0,7.31E-05,0,0,0.14495614,0.108845029,0.00752924,0.002266082,0.00621345,0.014181287,0.005116959,0,0,0
27586,2.458676438,2.627064897,0.76823067,0.194744526,2.622335766,0.000124852,0.286784443,0,0,0.01020663,0,0,0.119607966,0.079624196,0.00159186,0,0.000811536,0.00234097,0.001467008,0,0,0
27587,2.383322497,2.541944167,0.769830891,0.19364486,2.576137072,0.000742765,0.297063976,0,0,0.003559666,0,0,0.115226683,0.085249807,0.003307407,0,0.003643753,0.003713825,0.016607105,0,0,0
27588,2.180952793,2.348809936,0.752938517,0.18953271,2.528598131,0,0.22265029,0,0,0.000190723,0,0,0.118172109,0.143385719,0.004882514,0,0.002326823,0.002822704,0,0,0,0.000419591
27589,2.164904716,2.292349423,0.719671044,0.188292683,2.524634146,0,0.191220238,0,0,0,0,0,0.096602183,0.270089286,0.009300595,0.000248016,0.006572421,0.006696429,0.000124008,0,0,0.000496032
27590,1.967203767,2.114533261,0.75401577,0.1825,2.386931818,0,0.188917004,0,0,0.000253036,0,0,0.097368421,0.212550607,0.00242915,0.000354251,0.007692308,0.004757085,0.000253036,0,0,0
27591,2.498573343,2.649540011,0.778575438,0.192965116,2.582616279,0.00010141,0.302606227,0,0,0.001470439,0,0,0.104426529,0.091877092,0.003346517,0,0.007200081,0.010901531,0.001064801,0,0,0
27592,1.759007292,1.927962529,0.719032331,0.185679012,2.464320988,2.73E-05,0.124431121,0,0,0,0,0,0.035318163,0.330753509,0.002534405,2.73E-05,0.000245265,0.020493255,0.000708543,0,0,0.001362583
27593,1.554830469,1.710291769,0.724289947,0.181018519,2.308148148,4.30E-05,0.04968383,0,0,0,0,0,0.021938315,0.413472706,0.000258098,0.001763668,0.013206005,0.010366929,0.033380651,0,0,0
27594,0.893336971,1.073729128,0.675223611,0.181666667,2.343333333,0,0.0207555,0,0,0,0,0,0.00124533,0.375051889,0.000622665,0,0.004358655,0.00456621,0.00373599,0,0,0
27595,1.283547987,1.45701508,0.737933863,0.181724138,2.293448276,0,0.048280423,0,0,0.001102293,0,0,0.022045855,0.338762125,0.00041336,0.000523589,0.001019621,0.002452601,0.057374339,0,0,0
27596,1.630417855,1.799110326,0.747286401,0.183234043,2.392085106,0,0.090547246,0,0,0.000356977,0,0,0.050262378,0.31886981,0.000142791,0,0.000553315,0.002820119,0.018170135,0,0,0
27597,1.441097178,1.638061938,0.70388037,0.180603175,2.133079365,0,0.078171091,0,0,2.57E-05,0,0,0.08115942,0.195139156,0.005027575,0.00171861,0.005271258,0.088328844,0.025509811,0,0.000230858,0.00244966
27598,0.960806956,1.156965355,0.653532361,0.170857143,1.840666667,0,0.01389772,0,0,0,0,0,0.000999182,0.226678172,0.011536016,0.011536016,0.014715233,0.248296848,0.012035607,0,0,0.008765555
27599,1.222999875,1.399002546,0.703935845,0.181097561,2.217195122,0,0.033000696,0,0,0,0,0,0.025203063,0.277094453,0.013692272,0.000464145,0.018055233,0.016198654,0.058110931,0,4.64E-05,0.000881875
27600,1.454602144,1.635435971,0.725200204,0.171909091,2.131272727,0,0.065634366,0,0,0,0,0,0.104095904,0.189343989,0.006593407,0.005494505,0.017149517,0.011222111,0.025407925,0,0,0.006859807
27601,1.378518719,1.581922668,0.623949469,0.179503106,2.147287785,0.00027826,0.12653254,0,0,2.53E-05,0,0,0.064725028,0.125976019,0.010970201,0.003271666,0.004089583,0.108285411,0.022926961,0,0.00158524,0.005177328
27602,0.742191389,0.956873638,0.504247236,0.172738095,1.8875,4.86E-05,0.069395882,0,0,0.000145688,0,0,0.002768065,0.128836441,0.037296037,0.013743201,0.006458819,0.21532634,0.004419192,0,0,0.005730381
27603,1.863332178,2.019582516,0.676527042,0.16959596,2.096969697,0.000340136,0.113216715,0,0,0,0,0,0.076822157,0.245286686,0.024586978,0.006219631,0.01068999,0.038143829,0.04382896,0,0,0.009232264
27604,0.585351934,0.779758065,0.55336458,0.17375,1.73375,0,0.004460303,0,0,0,0,0,0.005352364,0.20205174,0.012042819,0,0.012488849,0.150312221,0.028991971,0,0,0.000892061
27605,1.123883586,1.308618001,0.594071648,0.182626263,2.149090909,0.000400071,0.085259602,0,0,0.000311166,0,0,0.016714083,0.212571124,0.016580725,0.000844595,0.004934211,0.153849573,0.021337127,0,0,0.001600284
27606,1.665108192,1.854589947,0.720879101,0.183317308,2.321730769,0,0.153204173,0,0,0.000140265,0,0,0.072955203,0.135776278,0.002822828,0.000841588,0.003191023,0.008240554,0.045165249,0,0,0.003822214
27607,1.569179969,1.729197818,0.657851448,0.173207547,2.078679245,0,0.091534392,0,0,0,0,0,0.037213404,0.262786596,0.023985891,0.005555556,0.050793651,0.03377425,0.055291005,0,0.000352734,0.015432099
27608,1.916245204,2.080098571,0.730522552,0.182179487,2.226666667,0,0.115917241,0,0,0,0,0,0.087558621,0.183613793,0.001986207,0.000441379,0.017875862,0.012027586,0.090593103,0,0,0.000662069
27609,1.698906334,1.913580247,0.745459732,0.180689655,2.257931034,0,0.145018007,0,0,0.000120048,0,0,0.081632653,0.088115246,0.006722689,0.000120048,0.014885954,0,0.029411765,0,0,0.004681873
27610,1.819016638,2.009091476,0.758062038,0.185075758,2.427424242,0,0.156263858,0,0,0.000194013,0,0,0.101468958,0.168015521,0.000249446,0,0.000859202,0.002439024,0.001413525,0,0,8.31E-05
27611,2.435058514,2.59818837,0.734987265,0.182372881,2.197033898,0,0.206575463,0,0,0.000132392,0,0,0.115754634,0.165666372,0.006178288,0.000308914,0.018932039,0.015048544,0.067255075,0,0,0.003309797
27612,2.364239976,2.551695758,0.690513234,0.145742574,2.030693069,0.003372434,0.324780059,0,0,0.000782014,0,0,0.032355816,0.040664712,0.001026393,0.081231672,0,0.013880743,0,0,0,0.075904203
27613,2.14136217,2.311886845,0.724911951,0.187177914,2.502392638,0,0.199681409,0,0,0.000937031,0,0,0.044790105,0.290573463,0.004247876,0.00327961,0.014086707,0.002061469,0.016398051,0,0,0
27614,2.129597414,2.32904296,0.75735482,0.192684211,2.576210526,0,0.262447111,0,0,0.000985336,0,0,0.08004405,0.089704206,0.003979984,0.000792133,0.002685523,0.002898047,0.000579609,0,0,1.93E-05
27615,1.955685224,2.131855103,0.738979267,0.18705314,2.48,0,0.16194626,0,0,0.000423626,0,0,0.069555394,0.240014524,0.004316953,0.000706044,0.001048979,0.009541677,0.006051803,0,0.000181554,0.001069152
27616,2.244471845,2.407555513,0.743411202,0.184210526,2.438596491,0.000141611,0.170131415,0,0,0.00206752,0,0,0.094596126,0.299762094,0.001614365,0,0.000509799,0.001897587,0.000311544,0,0,0
27617,1.515238803,1.697071256,0.727237262,0.182727273,2.437272727,0,0.066845218,0,0,0.001004352,0,0,0.021984154,0.346389912,0.001339136,0.006807276,0,0.000334784,0.002566678,0,0,0.001450731
27618,1.737699779,1.947939871,0.766870955,0.183421053,2.363026316,0.000157035,0.165201005,0,2.24E-05,0.002063891,0,0,0.07528715,0.129509153,0.001099246,0.002108758,0.004038047,0.001233848,0.015524049,0,0,0.000919777
27619,1.975378573,2.132238209,0.75334013,0.184714286,2.417904762,0,0.174101533,0,0,0.002555081,0,0,0.087312558,0.225705789,0.002240932,0.000753958,0.001026221,0.000691128,0.018723297,0,0,0
27620,0.516719448,0.755276881,0.510986539,0.169802495,1.957297297,9.97E-05,0.036078136,0,0,1.94E-05,0,8.03E-05,0.011414223,0.113743577,0.011923614,0.015965516,0.000717023,0.10606673,0.005426116,0,0.003809355,0.006395066
27622,2.357219345,2.520327942,0.729820448,0.175063291,2.176075949,0,0.18090796,0,0,0,0,0,0.213868159,0.156809701,0.005317164,0.007742537,0,0.012686567,0.008271144,0,0.000124378,0.00096393
27623,2.062516517,2.253830645,0.786819791,0.188170732,2.453780488,0,0.220921256,0,0,4.29E-05,0,0,0.152856408,0.026076514,0.000300223,0,0,0.000386001,0,0,0,0
27624,2.939824773,3.085871153,0.782931291,0.177088608,2.170632911,0,0.194969697,0,0,0,0,0,0.301030303,0.050666667,0.003393939,0,6.06E-05,0.000545455,0,0,0,0
27625,2.592010213,2.756756757,0.766268507,0.18371134,2.367628866,0.000274725,0.191575092,0,0,0.003205128,0,0,0.209386447,0.10297619,0.003250916,0,0.000137363,0,9.16E-05,0,0,0
27626,2.995592049,3.102724754,0.767438773,0.182389937,2.277232704,0,0.195246826,0,0,0.004082056,0,0,0.220396444,0.165945965,0.006123084,0,0.025668523,0.009340298,0.028954924,0,0,0
27627,1.190939328,1.387414954,0.665067063,0.170650888,2.083076923,3.92E-05,0.087019608,0,0,3.92E-05,0,0,0.048941176,0.152745098,0.009098039,0.008176471,0.018058824,0.027058824,0.026392157,0,1.96E-05,0.010588235
27628,1.871144992,2.035996829,0.734974009,0.185775862,2.332327586,0,0.146226746,0,0,0,0,7.02E-05,0.064443664,0.17978238,0.001614602,0.0001404,0.012039312,0.006493506,0.062723763,0,0,3.51E-05
27629,2.106645074,2.273836379,0.746067692,0.170967742,2.156129032,0,0.130224261,0,0,0,0,0,0.165647299,0.125,0.003567788,0.00764526,0.000828236,0.001019368,0.018476045,0,6.37E-05,0.013379205
27630,2.612507999,2.75798419,0.763679709,0.165714286,1.91,0,0.098870056,0,0,0,0,0,0.322740113,0.157132768,0.011652542,0.001412429,0,0,0,0,0,0.00529661
27631,2.210869735,2.346436399,0.752590969,0.179255319,2.269042553,0,0.132096379,0,0,0.001030795,0,0.000128849,0.257415282,0.171627368,0.001236954,0.00010308,0.000283469,0.003375854,0.000412318,0,5.15E-05,0
27632,2.046121606,2.173545165,0.745342681,0.178,2.177297297,0.001900835,0.123125937,0,0,0.007094667,0,0,0.243467552,0.177313129,0.003962305,0.000321268,0.004524523,0.001338616,0.022461983,0,0,0.000428357
27633,2.148069986,2.299901882,0.768366788,0.190206186,2.396701031,0.011034799,0.160027473,0,0,0.053067766,0,0,0.203388278,0.089652015,0.005998168,0,0,0.000961538,0,0,0,0
27634,2.380485321,2.524841429,0.752262915,0.183380952,2.233738095,0.00182118,0.112765486,0,0.000221495,0.045061896,0,0,0.226663057,0.205387247,0.007321635,0.000283021,0.000984422,0.006915561,1.23E-05,0,1.23E-05,0.0002338
27635,2.011263021,2.177028571,0.718652703,0.182631579,2.404210526,0,0.133605303,0,0,0,0,0,0.082865885,0.238398776,0.020397756,0.01045385,0.001529832,0.021672616,0.000509944,0,0,0.015043345
27636,2.584055389,2.775539906,0.776243589,0.188235294,2.609411765,0,0.282566586,0,0,0,0,0,0.094430993,0.099031477,0.000968523,0,0,0.001452785,0.000968523,0,0,0.005084746
27637,2.589047863,2.739093761,0.776131735,0.186790123,2.419876543,0,0.190779703,0,0,0,0,0,0.111509901,0.26200495,0.000309406,0,0.005136139,0.001113861,0.02865099,0,0,0
27638,2.296238502,2.469647862,0.752806952,0.189345455,2.3976,0,0.235270492,0,0,0.001816086,0,0,0.080099885,0.139035379,0.002025635,0,0.017741766,0.002759054,0.078772745,0,0,0
27639,1.842418553,2.023091214,0.701834825,0.186428571,2.389761905,0.000756864,0.160194175,0,0,0.017381773,0,0,0.058983192,0.22016912,0.010909281,0.002113999,0.007412047,0.016337822,0.008977973,0,0,0.004462888
27640,2.033161785,2.214220888,0.726078352,0.188571429,2.4975,0.001695835,0.210283544,0,0,0.032119115,0,0,0.079331163,0.101003934,0.005664089,0.005901506,0.002001085,0.00379867,0,0,0,0.00288292
27641,1.139342208,1.282792208,0.568716136,0.178181818,2.100909091,0,0.011217949,0,0,0.001602564,0,0,0.029380342,0.383547009,0.034188034,0.004807692,0.002136752,0.18215812,0,0,0,0.014957265
27642,2.065972837,2.210137004,0.716061384,0.185647059,2.285911765,0.003862516,0.115713418,0,0.000337633,0.039232899,0,0,0.146235397,0.201485583,0.005618205,0.000594233,0.009021541,0.010304545,0.003957053,0,0,2.70E-05
27643,2.126169382,2.24713969,0.741818999,0.1876,2.3116,0.015336134,0.039495798,0,0.000367647,0.096953782,0,0,0.1125,0.352836134,0.005094538,0,0.001523109,0.006460084,0.004044118,0,0,0
27644,1.622509919,1.774834071,0.714571273,0.180683761,2.230854701,0.002738926,0.013804185,0,0.000438228,0.025563306,0,0,0.086294416,0.337289559,0.000474747,0,0.003213673,0.003359749,0.030128182,0,0,0
27645,1.611961424,1.815322397,0.739289067,0.185098039,2.429607843,5.83E-05,0.149417249,0,0,0.003671329,0,0,0.053729604,0.14539627,0.003962704,0.00011655,0.000815851,0.007692308,0,0,0,0.000291375
27646,2.792540847,2.943047059,0.747112105,0.188506494,2.417987013,0.002469062,0.262999762,0,0,0.008835079,0,0,0.181609948,0.058246073,0.008180628,0.000148739,0.00434317,0.004819134,0,0,0,0
27647,2.602151019,2.759507389,0.757829936,0.187460317,2.492539683,6.30E-05,0.230497795,0,0,0.008884688,0,0,0.112287335,0.136546944,0.001575299,0,0,0.000882168,0,0,0,0
27648,2.985949651,3.136204524,0.778856799,0.198148148,2.67462963,0.000176616,0.35362946,0,0.000176616,0.00891911,0,0,0.060358531,0.10340869,0.010199576,0,0.01178912,0.005916637,0,0,0,0
27649,2.175421413,2.315449426,0.722080591,0.181890547,2.310199005,0.000555042,0.169102683,0,0,0.006197965,0,0,0.10892692,0.200878816,0.008371878,0.001641998,0.042252544,0.005897317,0.001549491,0,0,0
27650,1.544696739,1.72511462,0.618295248,0.157848101,2.041265823,0,0.155096936,0,0,0.000341122,0,0,0.024049122,0.19586105,0.008016374,0.058218205,0.000682245,0.050770368,0.010233669,0,0.000682245,0.022968901
27651,1.876893018,2.058006877,0.714630158,0.181714286,2.320857143,0,0.125438283,0,0,7.16E-05,0,7.16E-05,0.126964818,0.211902206,0.004865832,0.000691711,0.000644007,0.009397734,0.007895051,0,4.77E-05,0.001121049
27652,2.3796133,2.540470596,0.712278063,0.177697842,2.278561151,0,0.194803723,0,0,0,0,0,0.204036933,0.168633523,0.010422764,0.005645664,0.000132173,0.013103982,0.000188818,0,7.55E-05,0.008062537
27653,1.862904787,2.026176324,0.720386585,0.18045977,2.188994253,0,0.108559988,0,0,0.00010401,0,0,0.147342556,0.194302876,0.000169016,0.00032503,0.013001196,0.006838629,0.056269177,0,5.20E-05,0.000533049
27654,2.419734075,2.584049852,0.726688318,0.175693431,2.234452555,0,0.174026252,0,0,0,0,0,0.241332572,0.131366814,0.008275075,0.003352832,0,0.00702668,0,0,0.000249679,0.013768013
27655,3.537736518,3.719649562,0.773820311,0.181,2.349,0,0.216326531,0,0,0,0,0,0.257596372,0.084807256,0.00861678,0.001814059,0,0.009070295,0,0,0,0.003628118
27656,3.545071945,3.713165072,0.796912924,0.188756757,2.470486486,0,0.302678778,0,0,2.89E-05,0,0,0.258649618,0.042351308,0.000289285,8.68E-05,0.001041426,0.00095464,0.01032747,0,0,0.000491784
27657,3.108717233,3.25190256,0.756873278,0.182380952,2.293626374,0,0.223825762,0,0,0.000121788,0,0,0.256931758,0.110603662,0.011854017,0.001826818,0.023890716,0.002090691,0.013356067,0,0,0.001319368
27658,3.590468119,3.725909574,0.781055251,0.189740933,2.465233161,0.00056477,0.303846382,0,8.92E-05,0.031062363,0,0,0.225016349,0.084091314,0.003299447,0,0.006182748,0.003685869,0.004993758,0,0,0
27659,1.649963373,1.822758359,0.72359502,0.178504274,2.158974359,0.000762691,0.064568335,0,0.000316238,0.016500177,0,0,0.073311383,0.230146772,0.028554421,0.001767212,0.029447328,0.015551463,0.046300947,0,0.000297636,0.002455494
27660,2.985702715,3.179141312,0.727297653,0.171428571,2.073571429,0,0.209284333,0,0,0,0,0,0.185299807,0.11450677,0.02205029,0.01237911,0,0.001934236,0,0,0.000386847,0.040232108
27661,2.866478576,3.062751972,0.782354372,0.186307692,2.388461538,0,0.248711088,0,0,0,0,0,0.190726359,0.052731188,0.005318802,0.002088364,0.000163153,0.00760295,0.000293676,0,9.79E-05,0.000881029
27662,2.614243614,2.80015166,0.782746325,0.1867,2.442,0,0.229214883,0,4.45E-05,0.000222539,0,0,0.167838704,0.103124444,0.001557771,0,0.002136372,0.001023678,0.002581449,0,0,4.45E-05
27663,3.147134132,3.313284003,0.778343847,0.188088235,2.440735294,0,0.283868852,0,0,0.000393443,0,0,0.209377049,0.016721311,0.005836066,0.001770492,0,0.002885246,0,0,0,0.000983607
27664,1.676542373,1.878039949,0.771493409,0.188489209,2.419208633,0.0001554,0.136796537,0,6.66E-05,0.01018981,0,0,0.076612277,0.111199911,0.002974803,0,0.016272616,0.001687202,0.00970141,0,0,0
27665,2.886331951,3.035936853,0.77079532,0.192051282,2.552179487,0.00017507,0.337243231,0,0,0.007586368,0,0,0.114028945,0.091094771,0.002042484,0.000583567,0,0.00192577,0,0,0,0.00070028
27666,2.193528765,2.3395244,0.756133819,0.190988372,2.417906977,0.00199115,0.151474926,0,0.000884956,0.055766962,0,0,0.08340708,0.264970501,0.004542773,0.00020649,0.003244838,0.002920354,0.018849558,0,0,0
27668,2.049329993,2.224776786,0.745337886,0.186092715,2.447615894,2.87E-05,0.131380152,0,0,0.011316961,0,0,0.070630475,0.283613385,0.000315956,0.000201063,0.001005314,0.003762746,0.002010628,0,0,0
27669,2.422813188,2.568179675,0.757329311,0.187467532,2.310974026,0.007838733,0.100362211,0,0.000451388,0.058735454,0,0,0.132476798,0.266560976,0.00202574,0.000517444,0.001464258,0.017912387,0.003192743,0,0,0.000528454
27670,2.217293282,2.400989391,0.748114233,0.169710983,2.125606936,0,0.08829989,0,0,0,0,0,0.199086553,0.181815913,0.007512229,0.005465708,0.000748727,0.010232605,0.001547369,0,0.0008236,0.008909853
27671,2.302571398,2.453174367,0.752918226,0.179411765,2.31,0,0.084590517,0,0,0,0,0,0.18669181,0.222790948,0.013739224,0.001616379,0.002155172,0.000538793,0,0,0,0.002155172
27672,2.496705209,2.661472234,0.758953127,0.175615385,2.121538462,0,0.1091748,0,0,0,0,0,0.283442768,0.128340728,0.001029281,0,0.005075421,0.012386868,0.006921029,0,0,7.10E-05
27673,2.080632711,2.232387097,0.737043797,0.1825,2.385,0,0.017391304,0,0,0,0,0,0.150724638,0.414492754,0,0,0,0,0.005797101,0,0,0
27674,1.57287721,1.800440006,0.754226982,0.177712766,2.231808511,0,0.072051972,0,0,3.28E-05,0,0,0.150173896,0.138936282,0.000492158,0,0,0.000606995,0.000360916,0,0,0
27675,2.581600201,2.729162257,0.771762235,0.180875,2.305625,0,0.141930394,0,0,0,0,0,0.199731159,0.176967359,0.000262996,0,0.000759767,0.003974168,0.009409427,0,0,0.000525993
27676,2.307186392,2.496169173,0.753820931,0.179393939,2.27969697,0,0.092578648,0,0,0,0,0,0.203898929,0.196201473,4.18E-05,0,0.001506024,0.002635542,0.004852744,0,0,0
27677,1.594110415,1.777163636,0.76174688,0.177864078,2.169223301,0,0.075257268,0,0,6.93E-05,0,0,0.130210318,0.165378885,0,0,0.00207893,0.019126156,0.036589169,0,0,0.000173244
27678,2.049064787,2.255787476,0.717683799,0.169230769,2.263076923,0,0.090042373,0,0,0,0,0,0.127383475,0.184586864,0.005826271,0.016949153,0,0.002383475,0,0,0.000264831,0.037076271
